Cliente - Nome,Cliente - CNPJ,Cliente - Estado,Cliente - Cidade,rua,numero,bairro,cep (8 digitos),CONCAT,enderecoFormatado,lat,lng
EQUIMACON LTDA,64268451000278,MG,ITABIRA,R PLATINA,236,MAJOR LAGE DE BAIXO,35.900-217,"R PLATINA, 236, MAJOR LAGE DE BAIXO, ITABIRA","R. Platina, 236 - Maj. Lage de Baixo, Itabira - MG, 35900-217, Brazil",-19.6325229,-43.2283243
HELIO DUTRA CONSTRUCAO E ACABAMENTO LTDA,13731411000107,RJ,TRES RIOS,R PREFEITO JOAQUIM JOSE FERREIRA,188,CENTRO,25.804-020,"R PREFEITO JOAQUIM JOSE FERREIRA, 188, CENTRO, TRES RIOS","R. Pref. Joaquim José Ferreira, 188 - Centro, Três Rios - RJ, 25804-020, Brazil",-22.1176613,-43.2117469
CONSTRUSUL DE RESENDE MAT CONST LTDA ME,14931452000100,RJ,RESENDE,AV DOUTOR SEBASTIAO MOREIRA NETO,235,NOVA RESENDE,27.521-752,"AV DOUTOR SEBASTIAO MOREIRA NETO, 235, NOVA RESENDE, RESENDE","Avenida Doutor Sebastião Moreira Neto, 250 Comercial Nova Resende - Resende, RJ, 27521-752, Brazil",-22.4841841,-44.4921471
MORELLI COMERCIO MAT DE CONSTRUCAO LTDA,94169331000101,RS,ESTRELA,R CEL.BRITO,950,ORIENTAL,95.880-000,"R CEL.BRITO, 950, ORIENTAL, ESTRELA","R. Cel. Brito, 950 - Oriental, Estrela - RS, 95880-000, Brazil",-29.4969763,-51.9571276
CASA UNICA MATERIAIS DE CONSTRUCAO LTDA,25618174000143,MG,BELO HORIZONTE,AV PRESIDENTE CARLOS LUZ,2000,APARECIDA SETIMA SECAO,31.250-810,"AV PRESIDENTE CARLOS LUZ, 2000, APARECIDA SETIMA SECAO, BELO HORIZONTE","Av. Presidente Carlos Luz, 2000 - Alto Caiçaras, Belo Horizonte - MG, 31250-810, Brazil",-19.8916667,-43.9647222
CONSTRUSCHORR MATERIAIS DE CONSTRUCAO LTDA,689431000107,RS,LAJEADO,RST 453,KM 28,FLORESTA,95.900-010,"RST 453, KM 28, FLORESTA, LAJEADO","Rodovia RST 453, Km 28, s/n - Floresta, Lajeado - RS, 95900-000, Brazil",-29.4752407,-52.0088157
TAKARA TAKARA IRMAO LTDA,60836244000130,SP,SAO PAULO,AV ITABERABA,3844,ITABERABA,02.739-000,"AV ITABERABA, 3844, ITABERABA, SAO PAULO","Av. Itaberaba, 3844 - Itaberaba, São Paulo - SP, 02739-000, Brazil",-23.4771355,-46.6802104
ULETE MOTTA E CIA LTDA,24231276000149,MG,JOAO MONLEVADE,AV GETULIO VARGAS,5166,CARNEIRINHOS,35.930-003,"AV GETULIO VARGAS, 5166, CARNEIRINHOS, JOAO MONLEVADE","Av. Getúlio Vargas, 5166 - Nossa Sra. da Conceicao, João Monlevade - MG, 35930-001, Brazil",-19.8078867,-43.1772514
MUD MATERIAIS DE CONSTRUCAO LTDA,33082249000142,RJ,RIO DE JANEIRO,R MARQUES DE SAO VICENTE,9,GAVEA,22.451-041,"R MARQUES DE SAO VICENTE, 9, GAVEA, RIO DE JANEIRO","R. Marquês de São Vicente, 9 - Gávea, Rio de Janeiro - RJ, 22451-041, Brazil",-22.9751506,-43.2269209
ADFER MATS DE CONSTR LTDA,29092269000127,RJ,PETROPOLIS,EST UNIAO E INDUSTRIA,10.959,ITAIPAVA,25.730-740,"EST UNIAO E INDUSTRIA, 10959, ITAIPAVA, PETROPOLIS","Estr. União e Indústria, 10959 - Itaipava, Petrópolis - RJ, 25730-740, Brazil",-22.394377,-43.1324135
CONSTRU RIBEIRO COM MAT CONST,55953582000112,SP,BARRETOS,AV MATO GROSSO,695,BELA VISTA,14.780-735,"AV MATO GROSSO, 695, BELA VISTA, BARRETOS","Av. Mato Grosso, 695 - Bela Vista, Barretos - SP, 14780-735, Brazil",-20.5452276,-48.56786049999999
APOIO RBS COMERCIAL LTDA,2381476000145,SP,PERUIBE,AV LUCIANO DE BONA,1930,PARQUE TURISTICO,11.750-000,"AV LUCIANO DE BONA, 1930, PARQUE TURISTICO, PERUIBE","Av. Luciano de Bona, 1930 - Vila Peruibe, Peruíbe - SP, 11750-000, Brazil",-24.281386,-46.95965700000001
PEDRAO PVC MATS P CONSTR LTDA,60344348000128,SP,RIBEIRAO PRETO,R MARTINICO PRADO,897,VILA TIBERIO,14.050-050,"R MARTINICO PRADO, 897, VILA TIBERIO, RIBEIRAO PRETO","R. Martinico Prado, 897 - Vila Tiberio, Ribeirão Preto - SP, 14050-050, Brazil",-21.1676671,-47.8199281
ESTORIL NITEROI MATS CONSTR LTDA ME,91673000102,RJ,NITEROI,R PRESIDENTE BACKER,188,ICARAI,24.220-041,"R PRESIDENTE BACKER, 188, ICARAI, NITEROI","R. Pres. Backer, 188 - Icaraí, Niterói - RJ, 24220-041, Brazil",-22.9031442,-43.1095723
SCHUMACHER AREIAS E ARGAMASSAS LTDA,7236044000164,SC,CANOINHAS,"ROD BR 280 KM 221,7",2650,AGUA VERDE,89.460-000,"ROD BR 280 KM 221,7, 2650, AGUA VERDE, CANOINHAS","BR-280 - Água Verde, Canoinhas - SC, Brazil",-26.189878,-50.3757229
MONFORTE MAT DE CONSTRUCOES LTDA - ME,42000737000154,BA,SALVADOR,AV CENTENARIO,1369,CENTENARIO,40.155-150,"AV CENTENARIO, 1369, CENTENARIO, SALVADOR","Salvador - State of Bahia, Brazil",-12.9777334,-38.501648
S S MATERIAL DE CONSTRUCAO LTDA,15112858000115,SE,ARACAJU,R OSVANDA OLIVEIRA VIEIRA,168,PEREIRA LOBO,49.050-550,"R OSVANDA OLIVEIRA VIEIRA, 168, PEREIRA LOBO, ARACAJU","R. Osvanda Oliveira Vieira, 168 - Pereira Lobo, Aracaju - SE, 49050-550, Brazil",-10.924592,-37.070084
REALEZA MATERIAIS DE CONSTRUCAO LTDA,4047818000110,SC,ITAPOA,R DO COMERCIO,326,BAL ITAPEMA DO NORTE,89.249-000,"R DO COMERCIO, 326, BAL ITAPEMA DO NORTE, ITAPOA","Av. Emílio Cornelsen, Itapoá - SC, 89249-000, Brazil",-26.0670135,-48.6076183
SALOMAO ANTONIO E CIA LTDA EPP,4898102000127,PA,BELEM,AV MAGALHAES BARATA,379,SAO BRAZ,66.630-040,"AV MAGALHAES BARATA, 379, SAO BRAZ, BELEM","Av. Gov. Magalhães Barata, 379 - São Brás, Belém - PA, 66040-170, Brazil",-1.4517733,-48.47714449999999
THEAGO SEVERINO DE ALMEIDA EIRELI,2402707000150,SP,JALES,AV SALUSTIANO PUPIM,1062,JARDIM GUARANI,15.704-344,"AV SALUSTIANO PUPIM, 1062, JARDIM GUARANI, JALES","Av. Salustiano Pupim, 1062 - Jardim Sao Francisco de Assis, Jales - SP, 15704-344, Brazil",-20.2835048,-50.5540482
CASA MODELO MATS P CONSTR LTDA ME,12904774000126,SP,SAO PAULO,AV JOAO XXIII,700,VILA FORMOSA,03.361-000,"AV JOAO XXIII, 700, VILA FORMOSA, SAO PAULO","Av. João XXIII, 700 - Vila Formosa, São Paulo - SP, 03361-000, Brazil",-23.5729588,-46.5345041
DAGNONI E SEDREZ LTDA - ME,17896653000101,SC,ITAJAI,AV SETE DE SETEMBRO,1581,FAZENDA,88.301-201,"AV SETE DE SETEMBRO, 1581, FAZENDA, ITAJAI","Av. Sete de Setembro, 1581 - Fazenda, Itajaí - SC, 88301-205, Brazil",-26.9195548,-48.6537505
FERRAGENS BUARQUE DE MACEDO LTDA,3963122000171,RJ,RIO DE JANEIRO,R BUARQUE DE MACEDO,73,FLAMENGO,22.220-030,"R BUARQUE DE MACEDO, 73, FLAMENGO, RIO DE JANEIRO","R. Buarque de Macedo, 73 - Flamengo, Rio de Janeiro - RJ, 22220-030, Brazil",-22.928746,-43.1764663
FMA GROFF MADEIREIRA LTDA,93394021000110,RS,PORTO ALEGRE,AV TRAMANDAI,657,IPANEMA,90.001-970,"AV TRAMANDAI, 657, IPANEMA, PORTO ALEGRE","Av. Tramandaí, 657 - Ipanema, Porto Alegre - RS, 91760-050, Brazil",-30.1358779,-51.2271408
JARDIM BOTANICO MATERIAIS DE CONSTRUCAO BAZAR E TINTAS EIRELI,33389263000193,RJ,RIO DE JANEIRO,R JARDIM BOTANICO,145,GAVEA,22.470-050,"R JARDIM BOTANICO, 145, GAVEA, RIO DE JANEIRO","R. Jardim Botânico, 145 - Jardim Botânico, Rio de Janeiro - RJ, 22470-050, Brazil",-22.9606888,-43.2067723
LUZANA COM DE FERRO E METAIS LTDA  ME,40455123000131,RJ,RIO DE JANEIRO,R DOIS DE MAIO,198,SAMPAIO,20.961-160,"R DOIS DE MAIO, 198, SAMPAIO, RIO DE JANEIRO","R. Dois de Maio, 198 - Sampaio, Rio de Janeiro - RJ, 20961-160, Brazil",-22.8995936,-43.2636192
PEDRINHO COMERCIO E SERVICOS PARA CONSTRUCOES EIRELI,2792081000135,SP,BOTUCATU,R DELPHIM DA GRACA CARDOSO,224,VILA OPERARIA,18.604-405,"R DELPHIM DA GRACA CARDOSO, 224, VILA OPERARIA, BOTUCATU","R. Delfim da Graça Cardoso, 224 - Vila Mariana, Botucatu - SP, 18611, Brazil",-22.8781075,-48.4307598
CRG LOJA DE FERRAGENS LTDA,11864257000108,SP,ITAPECERICA DA SERRA,ROD JOSE SIMOES LOURO JUNIOR,5000,CRISPIM,06.865-800,"ROD JOSE SIMOES LOURO JUNIOR, 5000, CRISPIM, ITAPECERICA DA SERRA","Rod. José Simões Louro Júnior, 5000 - Crispim, Itapecerica da Serra - SP, 06865-800, Brazil",-23.7535364,-46.7896456
COMERCIO E INDUSTRIA SCHADECK S/A,85378503002606,SC,PAPANDUVA,R PRESIDENTE NEREU RAMOS,3135,CENTRO,89.370-000,"R PRESIDENTE NEREU RAMOS, 3135, CENTRO, PAPANDUVA","R. Nereu Ramos, 3135 - Centro, Papanduva - SC, 89370-000, Brazil",-26.407717,-50.1424298
MADEIREIRA A J REIS LTDA - EPP,87201109000175,RS,ELDORADO DO SUL,AV GETULIO VARGAS,123,CENTRO,92.990-000,"AV GETULIO VARGAS, 123, CENTRO, ELDORADO DO SUL","Av. Getúlio Vargas, 123 - Centro, Eldorado do Sul - RS, 92990-000, Brazil",-29.9997424,-51.3056992
SJL MATERIAL DE CONSTRUCAO LTDA,30817464000156,RJ,PETROPOLIS,EST UNIAO E INDUSTRIA,SN,ITAIPAVA,25.730-735,"EST UNIAO E INDUSTRIA, SN, ITAIPAVA, PETROPOLIS","Itaipava, Petrópolis - State of Rio de Janeiro, Brazil",-22.3819684,-43.1321582
LUMIERE COML LTDA,4889707000151,PA,BELEM,TV MAURITI,1097,PEDREIRA,66.083-000,"TV MAURITI, 1097, PEDREIRA, BELEM","Tv. Mauriti, 1097 - Pedreira, Belém - PA, 66080-650, Brazil",-1.4266881,-48.4732207
NEITZKE E CIA LTDA,95429148000152,RS,SINIMBU,AV GENERAL FLORES DA CUNHA,571,CENTRO,96.890-000,"AV GENERAL FLORES DA CUNHA, 571, CENTRO, SINIMBU","Av. Gen. Flôres da Cunha, 571, Sinimbu - RS, 96890-000, Brazil",-29.5370576,-52.5191694
7 OLIVEIRAS DISTRIBUIDORA LTDA,25048171000111,SP,SAO PAULO,R HARRY DANNEMBERG,362,VILA CARMOSINA,08.270-010,"R HARRY DANNEMBERG, 362, VILA CARMOSINA, SAO PAULO","Rua Harry Dannemberg, 362 - Vila Carmosina, São Paulo - SP, 08270-010, Brazil",-23.5533998,-46.4640129
DEP CACULA JACAREI MATS PARA CONST LTDA,50467885000101,SP,JACAREI,R JOAO AMERICO DA SILVA,204,CENTRO,12.315-310,"R JOAO AMERICO DA SILVA, 204, CENTRO, JACAREI","R. João Américo Silva, 204 - Centro, Jacareí - SP, 12308-660, Brazil",-23.3075486,-45.9678119
LOEF E CIA LTDA,89901185000119,RS,SAO SEBASTIAO DO CAI,AV DOUTOR BRUNO CASSEL,1173,VILA PROGRESSO,95.760-000,"AV DOUTOR BRUNO CASSEL, 1173, VILA PROGRESSO, SAO SEBASTIAO DO CAI","Av. Dr. Bruno Cassel, 1173, São Sebastião do Caí - RS, 95760-000, Brazil",-29.5780815,-51.3621373
COMERCIAL LUZITANO DA PARADA LTDA,52766904000126,SP,SAO PAULO,AV CANTIDIO SAMPAIO,1400,VILA SOUZA,08.210-040,"AV CANTIDIO SAMPAIO, 1400, VILA SOUZA, SAO PAULO","Av. Dep. Cantídio Sampaio, 1400 - Vila Souza, São Paulo - SP, 02880-070, Brazil",-23.4656265,-46.6793133
GILBERTO F. DOS PASSOS COMERCIO DE MATERIAIS DE CONSTRUCAO EIRELI,94380904000133,RS,SANTA CRUZ DO SUL,AV GASPAR BARTOLOMAY,854,BOM JESUS,96.815-555,"AV GASPAR BARTOLOMAY, 854, BOM JESUS, SANTA CRUZ DO SUL","Av. Gaspar Bartholomay, 854 - Bom Jesus, Santa Cruz do Sul - RS, 96845-496, Brazil",-29.7263496,-52.4443341
DEPOSITO DE MATERIAIS PARA CONSTRUCAO SAO FRANCISCO DE ASSIS LTDA,44774677000152,SP,CAMPINAS,R CORONEL ALFREDO AUGUSTO DO NASCIMENTO,115,SOUSAS,13.106-000,"R CORONEL ALFREDO AUGUSTO DO NASCIMENTO, 115, SOUSAS, CAMPINAS","R. Cel Alfredo Augusto do Nascimento, 115 - Sousas, Campinas - SP, 13106-000, Brazil",-22.8788822,-46.96458639999999
CENTER FERRAGENS ITAIM PAULISTA LIMITADA ME,64795776000128,SP,SAO PAULO,R MANOEL BUENO DA FONSECA,7,ITAIM PAULISTA,08.121-000,"R MANOEL BUENO DA FONSECA, 7, ITAIM PAULISTA, SAO PAULO","R. Manuel Bueno da Fonseca, 7 - Jardim Sao Luis (Zona Leste), São Paulo - SP, 08121-000, Brazil",-23.4949752,-46.3884894
A VALERIO BRITO,4845539000100,AM,MANAUS,AV ALVARO BOTELHO MAIA,945,SAO GERALDO,69.053-350,"AV ALVARO BOTELHO MAIA, 945, SAO GERALDO, MANAUS","Av Boulevard, 945 - São Geraldo, Manaus - AM, 69053-350, Brazil",-3.1157141,-60.02440559999999
SLIMP DISTRIBUIDORA DE MATERIAIS DE CONSTRUCAO EIRELI,13128503000199,RS,SANTA CRUZ DO SUL,AC LINHA JOAO ALVES,SN,BELVEDERE,96.825-390,"AC LINHA JOAO ALVES, SN, BELVEDERE, SANTA CRUZ DO SUL","Linha João Alves, 1010 - Loteamento Terra Vista - Country, Santa Cruz do Sul - RS, Brazil",-29.7150398,-52.39485320000001
DALBEM MAT ELET HIDRAULICOS FER E FERRAMENTAS EIRELI EPP,1339641000138,SP,PAULINIA,R DOM PAULO DE TARSO CAMPOS,141,VILA BRESSANI,13.140-492,"R DOM PAULO DE TARSO CAMPOS, 141, VILA BRESSANI, PAULINIA","Rua Dom Paulo Tarso Campos, 141 - Vila Bressani, Paulínia - SP, 13140-492, Brazil",-22.7704685,-47.1543462
AS MAT CONST LTDA,31819139000195,ES,VILA VELHA,R DR. ANTONIO ATAIDE,1845,DIVINO ESP.SANTO,29.107-200,"R DR. ANTONIO ATAIDE, 1845, DIVINO ESP.SANTO, VILA VELHA","R. Antônio Ataíde, 1845 - Centro de Vila Velha, Vila Velha - ES, 29100-295, Brazil",-20.3462368,-40.2933207
TECHFIX COM PROD FIX LTDA,7084548000106,PA,BELEM,AV PEDRO MIRANDA,2037,PEDREIRA,66.085-024,"AV PEDRO MIRANDA, 2037, PEDREIRA, BELEM","Av. Pedro Miranda, 2037 - Pedreira, Belém - PA, 66085-024, Brazil",-1.422209,-48.468461
SANTEC COM DE FERRAGENS E FERRAMENTAS LTDA,51322782000116,SP,DESCALVADO,R SIQUEIRA CAMPOS,344,CENTRO,13.690-000,"R SIQUEIRA CAMPOS, 344, CENTRO, DESCALVADO","R. Siqueira Campos, 344 - Centro, Descalvado - SP, 13690-000, Brazil",-21.9051698,-47.6247294
CARLOS DANIEL FAVARO BOZI CD COM VAREJ DE MAT DE CONSTRUCAO,34487240000184,ES,VITORIA,R PEDRO CARLOS DE SOUZA,84,ILHA DE SANTA MARIA,29.051-052,"R PEDRO CARLOS DE SOUZA, 84, ILHA DE SANTA MARIA, VITORIA","R. Pedro Carlos de Souza, 84 - Ilha de Santa Maria, Vitória - ES, 29051-050, Brazil",-20.3170953,-40.3203879
ALDO CESAR BATISTA ME,5272696000129,PR,CURITIBA,AV VICENTE MACHADO,2619,BATEL,80.440-020,"AV VICENTE MACHADO, 2619, BATEL, CURITIBA","Av. Vicente Machado, 2619 - Batel, Curitiba - PR, 80440-020, Brazil",-25.4433361,-49.30072089999999
DEPOSITO DE MADEIRA SAO LUIZ LTDA,44604973000105,SP,CAMPINAS,AV ARMANDO SALES OLIVEIRA,390,TAQUARAL,13.090-150,"AV ARMANDO SALES OLIVEIRA, 390, TAQUARAL, CAMPINAS","Avenida Doutor Armando Sáles de Oliveira, 390 - Taquaral, Campinas - SP, 13076-015, Brazil",-22.8785587,-47.0491907
ARMAZEM CORAL LTDA,11623188001031,PE,RECIFE,AV DOMINGOS FERREIRA,4811,BOA VIAGEM,51.021-000,"AV DOMINGOS FERREIRA, 4811, BOA VIAGEM, RECIFE","Av. Domingos Ferreira, 4811 - Boa Viagem, Recife - PE, 51021-040, Brazil",-8.1295105,-34.9018401
PADOVANI PADOVANI LTDA,50223692000458,SP,ITU,R PARQUE DO VARVITO,100,ALTO,13.310-161,"R PARQUE DO VARVITO, 100, ALTO, ITU","Rua Parque do Varvito, 100 - Parque Res. Mayard, Itu - SP, 13311, Brazil",-23.2664272,-47.3159219
CASA DAS TINTAS DE ANAPOLIS LTDA,33229030000204,GO,ANAPOLIS,AV BRASIL SUL,317,JUNDIAI,75.123-020,"AV BRASIL SUL, 317, JUNDIAI, ANAPOLIS","Av. Brasil Sul, 317 - Cidade Jardim, Anápolis - GO, 75080-240, Brazil",-16.3318535,-48.9509596
AGRO BOI IMP E EXP LTDA,4119970001052,RO,PORTO VELHO,AV PREFEITO CHIQUILITO ERSE,746,LAGOA,76.812-034,"AV PREFEITO CHIQUILITO ERSE, 746, LAGOA, PORTO VELHO","Av. Pref. Chiquilito Erse, 746 - Agenor M. de Carvalho, Porto Velho - RO, 76812-034, Brazil",-8.7704138,-63.8719683
IMPERMS COMERCIO DE TINTAS E IMPERMEABILIZANTES LTDA,8218450000167,MS,CAMPO GRANDE,AV MANOEL DA COSTA LIMA,1879,JARDIM PIRATININGA,79.081-040,"AV MANOEL DA COSTA LIMA, 1879, JARDIM PIRATININGA, CAMPO GRANDE","Av. Manoel da Costa Lima, 1867 - Vila Piratininga, Campo Grande - MS, 79081-040, Brazil",-20.4982986,-54.6338392
COTRIPAL AGROPECUARIA COOP,91982496001920,RS,PANAMBI,R GASPAR MARTINS,355,CENTRO,98.280-000,"R GASPAR MARTINS, 355, CENTRO, PANAMBI","R. Gáspar Martins, 355 - Centro, Panambi - RS, 98280-000, Brazil",-28.2857926,-53.4983984
MANFRIN CASSEB E CIA LTDA,72739543001027,SP,CATANDUVA,AV ENGENHEIRO JOSE NELSON MACHADO,1213,JARDIM SOTO,15.810-185,"AV ENGENHEIRO JOSE NELSON MACHADO, 1213, JARDIM SOTO, CATANDUVA","Av. Eng. José Nelson Machado, 1213 - Parque Iracema, Catanduva - SP, 15800-000, Brazil",-21.1468229,-48.9745845
CASA VERDE MATERIAIS PARA CONSTRUCAO LTDA,52912748000679,SP,BRAGANCA PAULISTA,ESTM VEREADOR ALVARO ALESSANDRI,84,CAMPO NOVO,12.903-841,"ESTM VEREADOR ALVARO ALESSANDRI, 84, CAMPO NOVO, BRAGANCA PAULISTA","Estr. Mun. Ver. Alvaro Alessandri, 84 - Campo Novo, Bragança Paulista - SP, 12903-841, Brazil",-22.9485676,-46.5934695
CDVIP COMERCIO E DISTRIBUICAO DE MATERIAIS DE CONSTR LTDA,10994854000194,SP,SAO PEDRO,R ELPIDIO FERRAZ DE ALMEIDA,28,JARDIM SANTA ROSA,13.520-000,"R ELPIDIO FERRAZ DE ALMEIDA, 28, JARDIM SANTA ROSA, SAO PEDRO","R. Elpidio Ferraz de Almeida, São Pedro - SP, 13520-000, Brazil",-22.5755345,-47.8946841
AGRO BOI IMPORTACAO E EXPORTACAO LTDA,4119970000595,AC,RIO BRANCO,AV CEARA,3795,7 BEC,69.918-108,"AV CEARA, 3795, 7 BEC, RIO BRANCO","Avenida Nações Unidas, n° 2100, 7° BEC - Estacao Experimental, Rio Branco - AC, 69918-093, Brazil",-9.9660005,-67.825732
SOLDAMAQ COM DE FERRAMENTAS LTDA,924845001145,MS,CAMPO GRANDE,AV ZILA CORREA MACHADO,9082,RITA VIEIRA,79.062-002,"AV ZILA CORREA MACHADO, 9082, RITA VIEIRA, CAMPO GRANDE","Av. Zilá Corrêa Machado, 9082 - Rita Vieira, Campo Grande - MS, 79040-400, Brazil",-20.516419,-54.563621
